location,project,lure
1223-NE,ABMI Ecosystem Health 2015,Yes
1223-NW,ABMI Ecosystem Health 2015,No
1223-SE,ABMI Ecosystem Health 2015,No
1223-SW,ABMI Ecosystem Health 2015,Yes
1224-NE,ABMI Ecosystem Health 2015,Yes
1224-NW,ABMI Ecosystem Health 2015,No
1224-SE,ABMI Ecosystem Health 2015,No
1224-SW,ABMI Ecosystem Health 2015,Yes
1225-NE,ABMI Ecosystem Health 2017,Yes
1225-NW,ABMI Ecosystem Health 2017,No
1225-SE,ABMI Ecosystem Health 2017,No
1225-SW,ABMI Ecosystem Health 2017,Yes
1226-NE,ABMI Ecosystem Health 2017,Yes
1226-NW,ABMI Ecosystem Health 2017,No
1226-SE,ABMI Ecosystem Health 2017,No
1226-SW,ABMI Ecosystem Health 2017,Yes
1228-NE,ABMI Ecosystem Health 2018,Yes
1228-NW,ABMI Ecosystem Health 2018,No
1228-SE,ABMI Ecosystem Health 2018,No
1228-SW,ABMI Ecosystem Health 2018,Yes
1229-NE,ABMI Ecosystem Health 2018,No
1229-NW,ABMI Ecosystem Health 2018,No
1229-SE,ABMI Ecosystem Health 2018,No
1229-SW,ABMI Ecosystem Health 2018,Yes
122-NE,ABMI Ecosystem Health 2016,Yes
122-NW,ABMI Ecosystem Health 2016,No
122-SE,ABMI Ecosystem Health 2016,No
122-SW,ABMI Ecosystem Health 2016,Yes
1230-NE,ABMI Ecosystem Health 2018,Yes
1230-NW,ABMI Ecosystem Health 2018,No
1230-SE,ABMI Ecosystem Health 2018,Yes
1230-SW,ABMI Ecosystem Health 2018,Yes
1240-NE,ABMI Ecosystem Health 2017,Yes
1240-NW,ABMI Ecosystem Health 2017,No
1240-SE,ABMI Ecosystem Health 2017,No
1240-SW,ABMI Ecosystem Health 2017,Yes
1241-NE,ABMI Ecosystem Health 2017,Yes
1241-NW,ABMI Ecosystem Health 2017,No
1241-SE,ABMI Ecosystem Health 2017,No
1241-SW,ABMI Ecosystem Health 2017,Yes
1242-NE,ABMI Ecosystem Health 2017,Yes
1242-NW,ABMI Ecosystem Health 2017,No
1242-SE,ABMI Ecosystem Health 2017,No
1242-SE-b,ABMI Ecosystem Health 2017,No
1242-SW,ABMI Ecosystem Health 2017,Yes
1243-NE,ABMI Ecosystem Health 2018,Yes
1243-NW,ABMI Ecosystem Health 2018,No
1243-SE,ABMI Ecosystem Health 2018,No
1243-SW,ABMI Ecosystem Health 2018,Yes
1244-NE,ABMI Ecosystem Health 2018,Yes
1244-NW,ABMI Ecosystem Health 2018,No
1244-SE,ABMI Ecosystem Health 2018,No
1244-SW,ABMI Ecosystem Health 2018,Yes
1245-NE,ABMI Ecosystem Health 2018,Yes
1245-NW,ABMI Ecosystem Health 2018,No
1245-SE,ABMI Ecosystem Health 2018,No
1245-SW,ABMI Ecosystem Health 2018,Yes
1252-NE,ABMI Ecosystem Health 2015,Yes
1252-NW,ABMI Ecosystem Health 2015,No
1252-SE,ABMI Ecosystem Health 2015,No
1252-SW,ABMI Ecosystem Health 2015,Yes
1253-NE,ABMI Ecosystem Health 2015,Yes
1253-NW,ABMI Ecosystem Health 2015,No
1253-SE,ABMI Ecosystem Health 2015,No
1253-SW,ABMI Ecosystem Health 2015,Yes
1254-NE,ABMI Ecosystem Health 2015,Yes
1254-NW,ABMI Ecosystem Health 2015,No
1254-SW,ABMI Ecosystem Health 2015,Yes
1255-NE,ABMI Ecosystem Health 2017,Yes
1255-NW,ABMI Ecosystem Health 2017,No
1255-SE,ABMI Ecosystem Health 2017,No
1255-SW,ABMI Ecosystem Health 2017,Yes
1256-NE,ABMI Ecosystem Health 2017,Yes
1256-NW,ABMI Ecosystem Health 2017,No
1256-SE,ABMI Ecosystem Health 2017,No
1256-SW,ABMI Ecosystem Health 2017,Yes
1263-NE,ABMI Ecosystem Health 2017,Yes
1263-NW,ABMI Ecosystem Health 2017,No
1263-SE,ABMI Ecosystem Health 2017,No
1263-SW,ABMI Ecosystem Health 2017,Yes
1264-NE,ABMI Ecosystem Health 2017,Yes
1264-NW,ABMI Ecosystem Health 2017,No
1264-SE,ABMI Ecosystem Health 2017,No
1264-SW,ABMI Ecosystem Health 2017,Yes
1265-NE,ABMI Ecosystem Health 2017,Yes
1265-NW,ABMI Ecosystem Health 2017,No
1265-SE,ABMI Ecosystem Health 2017,No
1265-SW,ABMI Ecosystem Health 2017,Yes
1266-NE,ABMI Ecosystem Health 2018,Yes
1266-NW,ABMI Ecosystem Health 2018,No
1266-SE,ABMI Ecosystem Health 2018,No
1266-SW,ABMI Ecosystem Health 2018,Yes
1267-NE,ABMI Ecosystem Health 2018,Yes
1267-NW,ABMI Ecosystem Health 2018,No
1267-SE,ABMI Ecosystem Health 2018,No
1267-SW,ABMI Ecosystem Health 2018,Yes
1268-NE,ABMI Ecosystem Health 2018,Yes
1268-NW,ABMI Ecosystem Health 2018,No
1268-SE,ABMI Ecosystem Health 2018,No
1268-SW,ABMI Ecosystem Health 2018,Yes
1275-NE,ABMI Ecosystem Health 2015,Yes
1275-NW,ABMI Ecosystem Health 2015,No
1275-SE,ABMI Ecosystem Health 2015,No
1275-SW,ABMI Ecosystem Health 2015,Yes
1276-NE,ABMI Ecosystem Health 2015,Yes
1276-NW,ABMI Ecosystem Health 2015,No
1276-NW-b,ABMI Ecosystem Health 2015,No
1276-SE,ABMI Ecosystem Health 2015,Yes
1276-SW,ABMI Ecosystem Health 2015,No
1277-NE,ABMI Ecosystem Health 2015,No
1277-NW,ABMI Ecosystem Health 2015,No
1277-SE,ABMI Ecosystem Health 2015,Yes
1277-SW,ABMI Ecosystem Health 2015,Yes
1278-NE,ABMI Ecosystem Health 2017,Yes
1278-NW,ABMI Ecosystem Health 2017,No
1278-SE,ABMI Ecosystem Health 2017,No
1278-SW,ABMI Ecosystem Health 2017,Yes
1279-NE,ABMI Ecosystem Health 2017,Yes
1279-NW,ABMI Ecosystem Health 2017,No
1279-SE,ABMI Ecosystem Health 2017,No
1279-SW,ABMI Ecosystem Health 2017,Yes
1280-NE,ABMI Ecosystem Health 2017,Yes
1280-NW,ABMI Ecosystem Health 2017,No
1280-SE,ABMI Ecosystem Health 2017,No
1280-SW,ABMI Ecosystem Health 2017,Yes
1281-NE,ABMI Ecosystem Health 2018,Yes
1281-SW,ABMI Ecosystem Health 2018,No
1282-NE,ABMI Ecosystem Health 2018,Yes
1282-SW,ABMI Ecosystem Health 2018,No
1283-NE,ABMI Ecosystem Health 2018,Yes
1283-SW,ABMI Ecosystem Health 2018,No
1284-NE,ABMI Ecosystem Health 2016,Yes
1284-NW,ABMI Ecosystem Health 2016,No
1284-SE,ABMI Ecosystem Health 2016,No
1284-SW,ABMI Ecosystem Health 2016,Yes
1285-NE,ABMI Ecosystem Health 2016,Yes
1285-NW,ABMI Ecosystem Health 2016,No
1285-SE,ABMI Ecosystem Health 2016,No
1285-SW,ABMI Ecosystem Health 2016,Yes
1291-NE,ABMI Ecosystem Health 2017,NA
1291-NW,ABMI Ecosystem Health 2017,No
1291-SE,ABMI Ecosystem Health 2017,NA
1291-SW,ABMI Ecosystem Health 2017,NA
1292-NE,ABMI Ecosystem Health 2017,Yes
1292-NW,ABMI Ecosystem Health 2017,No
1292-SE,ABMI Ecosystem Health 2017,No
1292-SW,ABMI Ecosystem Health 2017,Yes
1293-NE,ABMI Ecosystem Health 2017,Yes
1293-NW,ABMI Ecosystem Health 2017,No
1293-SE,ABMI Ecosystem Health 2017,No
1293-SW,ABMI Ecosystem Health 2017,Yes
1294-NE,ABMI Ecosystem Health 2018,Yes
1294-NW,ABMI Ecosystem Health 2018,No
1294-SE,ABMI Ecosystem Health 2018,No
1294-SW,ABMI Ecosystem Health 2018,Yes
1295-NE,ABMI Ecosystem Health 2018,Yes
1295-NW,ABMI Ecosystem Health 2018,No
1295-SE,ABMI Ecosystem Health 2018,No
1295-SW,ABMI Ecosystem Health 2018,Yes
1296-NE,ABMI Ecosystem Health 2018,Yes
1296-NW,ABMI Ecosystem Health 2018,No
1296-SE,ABMI Ecosystem Health 2018,No
1296-SW,ABMI Ecosystem Health 2018,Yes
1303-NE,ABMI Ecosystem Health 2015,No
1303-NW,ABMI Ecosystem Health 2015,No
1303-SE,ABMI Ecosystem Health 2015,No
1303-SW,ABMI Ecosystem Health 2015,No
1304-NE,ABMI Ecosystem Health 2015,Yes
1304-NW,ABMI Ecosystem Health 2015,No
1304-SE,ABMI Ecosystem Health 2015,No
1304-SW,ABMI Ecosystem Health 2015,Yes
1305-NE,ABMI Ecosystem Health 2015,Yes
1305-NE-b,ABMI Ecosystem Health 2015,Yes
1305-NW,ABMI Ecosystem Health 2015,Yes
1305-SE,ABMI Ecosystem Health 2015,No
1305-SW,ABMI Ecosystem Health 2015,No
1306-NE,ABMI Ecosystem Health 2017,No
1306-NW,ABMI Ecosystem Health 2017,No
1306-SE,ABMI Ecosystem Health 2017,Yes
1306-SW,ABMI Ecosystem Health 2017,Yes
1307-NE,ABMI Ecosystem Health 2017,Yes
1307-NW,ABMI Ecosystem Health 2017,No
1307-SE,ABMI Ecosystem Health 2017,No
1307-SW,ABMI Ecosystem Health 2017,Yes
1308-NE,ABMI Ecosystem Health 2017,Yes
1308-NW,ABMI Ecosystem Health 2017,No
1308-SE,ABMI Ecosystem Health 2017,No
1308-SW,ABMI Ecosystem Health 2017,Yes
1309-NE,ABMI Ecosystem Health 2018,Yes
1309-SW,ABMI Ecosystem Health 2018,No
1310-NE,ABMI Ecosystem Health 2018,Yes
1310-SW,ABMI Ecosystem Health 2018,No
1311-NE,ABMI Ecosystem Health 2018,Yes
1311-SW,ABMI Ecosystem Health 2018,No
1312-NE,ABMI Ecosystem Health 2016,Yes
1312-NW,ABMI Ecosystem Health 2016,No
1312-SE,ABMI Ecosystem Health 2016,No
1312-SW,ABMI Ecosystem Health 2016,Yes
1313-NE,ABMI Ecosystem Health 2016,Yes
1313-NW,ABMI Ecosystem Health 2016,No
1313-SE,ABMI Ecosystem Health 2016,Yes
1313-SW,ABMI Ecosystem Health 2016,No
1314-NE,ABMI Ecosystem Health 2016,Yes
1314-NW,ABMI Ecosystem Health 2016,No
1314-SE,ABMI Ecosystem Health 2016,No
1314-SW,ABMI Ecosystem Health 2016,Yes
1320-NE,ABMI Ecosystem Health 2018,Yes
1320-NW,ABMI Ecosystem Health 2018,No
1320-SE,ABMI Ecosystem Health 2018,No
1320-SW,ABMI Ecosystem Health 2018,NA
1321-NE,ABMI Ecosystem Health 2017,Yes
1321-NW,ABMI Ecosystem Health 2017,No
1321-SE,ABMI Ecosystem Health 2017,No
1321-SW,ABMI Ecosystem Health 2017,Yes
1322-NE,ABMI Ecosystem Health 2017,Yes
1322-NW,ABMI Ecosystem Health 2017,No
1322-SE,ABMI Ecosystem Health 2017,No
1322-SW,ABMI Ecosystem Health 2017,Yes
1323-NE,ABMI Ecosystem Health 2018,Yes
1323-NW,ABMI Ecosystem Health 2018,No
1323-SE,ABMI Ecosystem Health 2018,No
1323-SW,ABMI Ecosystem Health 2018,Yes
1324-NE,ABMI Ecosystem Health 2018,Yes
1324-NW,ABMI Ecosystem Health 2018,No
1324-SE,ABMI Ecosystem Health 2018,No
1324-SW,ABMI Ecosystem Health 2018,Yes
1325-NE,ABMI Ecosystem Health 2018,Yes
1325-NW,ABMI Ecosystem Health 2018,No
1325-SE,ABMI Ecosystem Health 2018,No
1325-SW,ABMI Ecosystem Health 2018,Yes
1332-NE,ABMI Ecosystem Health 2015,Yes
1332-NW,ABMI Ecosystem Health 2015,No
1332-SE,ABMI Ecosystem Health 2015,No
1332-SW,ABMI Ecosystem Health 2015,Yes
1333-NE,ABMI Ecosystem Health 2015,No
1333-NW,ABMI Ecosystem Health 2015,No
1333-SE,ABMI Ecosystem Health 2015,Yes
1333-SW,ABMI Ecosystem Health 2015,Yes
1334-NE,ABMI Ecosystem Health 2015,Yes
1334-NW,ABMI Ecosystem Health 2015,No
1334-SE,ABMI Ecosystem Health 2015,No
1334-SW,ABMI Ecosystem Health 2015,Yes
1335-NE,ABMI Ecosystem Health 2017,Yes
1335-NW,ABMI Ecosystem Health 2017,No
1335-SE,ABMI Ecosystem Health 2017,Yes
1335-SW,ABMI Ecosystem Health 2017,Yes
1336-NE,ABMI Ecosystem Health 2017,Yes
1336-NW,ABMI Ecosystem Health 2017,No
1336-SE,ABMI Ecosystem Health 2017,No
1336-SW,ABMI Ecosystem Health 2017,Yes
1337-NE,ABMI Ecosystem Health 2017,Yes
1337-NW,ABMI Ecosystem Health 2017,No
1337-SE,ABMI Ecosystem Health 2017,No
1337-SW,ABMI Ecosystem Health 2017,Yes
1338-NE,ABMI Ecosystem Health 2018,Yes
1338-SW,ABMI Ecosystem Health 2018,No
1339-NE,ABMI Ecosystem Health 2018,Yes
1339-SW,ABMI Ecosystem Health 2018,No
1340-NE,ABMI Ecosystem Health 2018,Yes
1340-SW,ABMI Ecosystem Health 2018,No
1341-NE,ABMI Ecosystem Health 2016,Yes
1341-NW,ABMI Ecosystem Health 2016,No
1341-SE,ABMI Ecosystem Health 2016,No
1341-SW,ABMI Ecosystem Health 2016,Yes
1342-NE,ABMI Ecosystem Health 2016,No
1342-NW,ABMI Ecosystem Health 2016,No
1342-SE,ABMI Ecosystem Health 2016,Yes
1342-SW,ABMI Ecosystem Health 2016,Yes
1343-NE,ABMI Ecosystem Health 2016,Yes
1343-NW,ABMI Ecosystem Health 2016,No
1343-SE,ABMI Ecosystem Health 2016,No
1343-SW,ABMI Ecosystem Health 2016,Yes
1346-NE,ABMI Ecosystem Health 2018,Yes
1346-NW,ABMI Ecosystem Health 2018,No
1346-SE,ABMI Ecosystem Health 2018,No
1346-SW,ABMI Ecosystem Health 2018,Yes
1356-NE,ABMI Ecosystem Health 2017,Yes
1356-NW,ABMI Ecosystem Health 2017,No
1356-SE,ABMI Ecosystem Health 2017,No
1356-SW,ABMI Ecosystem Health 2017,Yes
1357-NE,ABMI Ecosystem Health 2017,Yes
1357-NW,ABMI Ecosystem Health 2017,No
1357-SE,ABMI Ecosystem Health 2017,No
1357-SW,ABMI Ecosystem Health 2017,Yes
1358-NE,ABMI Ecosystem Health 2017,Yes
1358-NW,ABMI Ecosystem Health 2017,No
1358-SE,ABMI Ecosystem Health 2017,No
1358-SW,ABMI Ecosystem Health 2017,Yes
1360-NE,ABMI Ecosystem Health 2018,Yes
1360-SW,ABMI Ecosystem Health 2018,No
1361-NE,ABMI Ecosystem Health 2018,Yes
1361-SW,ABMI Ecosystem Health 2018,No
1362-NE,ABMI Ecosystem Health 2016,Yes
1362-NW,ABMI Ecosystem Health 2016,No
1362-SE,ABMI Ecosystem Health 2016,No
1362-SW,ABMI Ecosystem Health 2016,Yes
1363-NE,ABMI Ecosystem Health 2016,Yes
1363-NW,ABMI Ecosystem Health 2016,No
1363-SE,ABMI Ecosystem Health 2016,No
1363-SW,ABMI Ecosystem Health 2016,Yes
1364-NE,ABMI Ecosystem Health 2016,Yes
1364-NW,ABMI Ecosystem Health 2016,No
1364-SE,ABMI Ecosystem Health 2016,No
1364-SW,ABMI Ecosystem Health 2016,Yes
1368-NE,ABMI Ecosystem Health 2015,Yes
1368-NW,ABMI Ecosystem Health 2015,No
1368-SE,ABMI Ecosystem Health 2015,No
1368-SW,ABMI Ecosystem Health 2015,Yes
1369-NE,ABMI Ecosystem Health 2015,Yes
1369-NW,ABMI Ecosystem Health 2015,No
1369-SE,ABMI Ecosystem Health 2015,No
1369-SW,ABMI Ecosystem Health 2015,Yes
1381-NE,ABMI Ecosystem Health 2017,Yes
1381-NW,ABMI Ecosystem Health 2017,No
1381-SE,ABMI Ecosystem Health 2017,No
1381-SW,ABMI Ecosystem Health 2017,Yes
1382-NE,ABMI Ecosystem Health 2017,No
1382-NW,ABMI Ecosystem Health 2017,No
1382-SE,ABMI Ecosystem Health 2017,No
1382-SW,ABMI Ecosystem Health 2017,No
1383-NE,ABMI Ecosystem Health 2017,Yes
1383-NW,ABMI Ecosystem Health 2017,No
1383-SE,ABMI Ecosystem Health 2017,No
1383-SW,ABMI Ecosystem Health 2017,Yes
1384-NE,ABMI Ecosystem Health 2018,Yes
1384-SW,ABMI Ecosystem Health 2018,No
1385-NE,ABMI Ecosystem Health 2018,Yes
1385-SW,ABMI Ecosystem Health 2018,No
1387-NE,ABMI Ecosystem Health 2016,Yes
1387-NW,ABMI Ecosystem Health 2016,No
1387-SE,ABMI Ecosystem Health 2016,No
1387-SW,ABMI Ecosystem Health 2016,Yes
1388B-NE,ABMI Ecosystem Health 2016,Yes
1388B-NW,ABMI Ecosystem Health 2016,No
1388B-SE,ABMI Ecosystem Health 2016,No
1388B-SW,ABMI Ecosystem Health 2016,Yes
1389-NE,ABMI Ecosystem Health 2016,Yes
1389-NW,ABMI Ecosystem Health 2016,No
1389-SE,ABMI Ecosystem Health 2016,No
1389-SW,ABMI Ecosystem Health 2016,Yes
1393-NE,ABMI Ecosystem Health 2015,Yes
1393-NW,ABMI Ecosystem Health 2015,No
1393-SE,ABMI Ecosystem Health 2015,No
1394-NE,ABMI Ecosystem Health 2015,Yes
1394-NW,ABMI Ecosystem Health 2015,No
1394-SE,ABMI Ecosystem Health 2015,No
1394-SW,ABMI Ecosystem Health 2015,Yes
1395-NE,ABMI Ecosystem Health 2015,Yes
1395-NW,ABMI Ecosystem Health 2015,No
1395-SE,ABMI Ecosystem Health 2015,No
1395-SW,ABMI Ecosystem Health 2015,Yes
13-NE,ABMI Ecosystem Health 2015,Yes
13-NW,ABMI Ecosystem Health 2015,No
13-SE,ABMI Ecosystem Health 2015,No
13-SW,ABMI Ecosystem Health 2015,Yes
1405B-NE,ABMI Ecosystem Health 2017,No
1405B-NW,ABMI Ecosystem Health 2017,No
1405B-SE,ABMI Ecosystem Health 2017,No
1405B-SW,ABMI Ecosystem Health 2017,Yes
1405-NE,ABMI Ecosystem Health 2017,No
1405-NW,ABMI Ecosystem Health 2017,No
1405-SE,ABMI Ecosystem Health 2017,No
1405-SW,ABMI Ecosystem Health 2017,Yes
1406-NE,ABMI Ecosystem Health 2017,NA
1406-NW,ABMI Ecosystem Health 2017,No
1406-SE,ABMI Ecosystem Health 2017,NA
1406-SW,ABMI Ecosystem Health 2017,Yes
1407-NE,ABMI Ecosystem Health 2017,No
1407-NW,ABMI Ecosystem Health 2017,No
1407-SE,ABMI Ecosystem Health 2017,No
1407-SW,ABMI Ecosystem Health 2017,No
1408-NE,ABMI Ecosystem Health 2018,Yes
1408-SW,ABMI Ecosystem Health 2018,No
1409-NE,ABMI Ecosystem Health 2018,Yes
1409-SW,ABMI Ecosystem Health 2018,No
1410-NE,ABMI Ecosystem Health 2018,Yes
1410-SW,ABMI Ecosystem Health 2018,No
1411-NE,ABMI Ecosystem Health 2016,Yes
1411-NE-b,ABMI Ecosystem Health 2016,Yes
1411-NW,ABMI Ecosystem Health 2016,No
1411-NW-b,ABMI Ecosystem Health 2016,No
1411-SE,ABMI Ecosystem Health 2016,No
1411-SE-b,ABMI Ecosystem Health 2016,No
1411-SW,ABMI Ecosystem Health 2016,Yes
1411-SW-b,ABMI Ecosystem Health 2016,Yes
1412-NE,ABMI Ecosystem Health 2016,Yes
1412-NW,ABMI Ecosystem Health 2016,No
1412-SE,ABMI Ecosystem Health 2016,No
1412-SW,ABMI Ecosystem Health 2016,Yes
1413-NE,ABMI Ecosystem Health 2016,Yes
1413-NW,ABMI Ecosystem Health 2016,No
1413-SE,ABMI Ecosystem Health 2016,No
1413-SW,ABMI Ecosystem Health 2016,Yes
1417-NE,ABMI Ecosystem Health 2015,Yes
1417-NW,ABMI Ecosystem Health 2015,No
1417-SE,ABMI Ecosystem Health 2015,No
1417-SW,ABMI Ecosystem Health 2015,Yes
1418-NE,ABMI Ecosystem Health 2015,Yes
1418-NW,ABMI Ecosystem Health 2015,No
1418-SE,ABMI Ecosystem Health 2015,No
1418-SW,ABMI Ecosystem Health 2015,Yes
1419-NE,ABMI Ecosystem Health 2015,Yes
1419-NE-b,ABMI Ecosystem Health 2015,Yes
1419-NW,ABMI Ecosystem Health 2015,No
1419-NW-b,ABMI Ecosystem Health 2015,No
1419-SE,ABMI Ecosystem Health 2015,No
1419-SW,ABMI Ecosystem Health 2015,Yes
1420-NE,ABMI Ecosystem Health 2017,Yes
1420-NW,ABMI Ecosystem Health 2017,No
1420-SE,ABMI Ecosystem Health 2017,No
1420-SW,ABMI Ecosystem Health 2017,Yes
1422-NE,ABMI Ecosystem Health 2018,NA
1422-NW,ABMI Ecosystem Health 2018,No
1422-SE,ABMI Ecosystem Health 2018,No
1422-SW,ABMI Ecosystem Health 2018,Yes
1423-NE,ABMI Ecosystem Health 2018,Yes
1423-NW,ABMI Ecosystem Health 2018,NA
1423-SE,ABMI Ecosystem Health 2018,No
1423-SW,ABMI Ecosystem Health 2018,Yes
1424-NE,ABMI Ecosystem Health 2017,Yes
1424-NW,ABMI Ecosystem Health 2017,No
1424-SE,ABMI Ecosystem Health 2017,No
1424-SW,ABMI Ecosystem Health 2017,Yes
1425-NE,ABMI Ecosystem Health 2017,Yes
1425-NW,ABMI Ecosystem Health 2017,No
1425-SE,ABMI Ecosystem Health 2017,No
1425-SW,ABMI Ecosystem Health 2017,Yes
1426-NE,ABMI Ecosystem Health 2017,Yes
1426-NW,ABMI Ecosystem Health 2017,No
1426-SE,ABMI Ecosystem Health 2017,No
1426-SW,ABMI Ecosystem Health 2017,Yes
1427-NE,ABMI Ecosystem Health 2017,Yes
1427-NW,ABMI Ecosystem Health 2017,No
1427-SE,ABMI Ecosystem Health 2017,No
1427-SW,ABMI Ecosystem Health 2017,Yes
1428-NE,ABMI Ecosystem Health 2016,No
1428-NW,ABMI Ecosystem Health 2016,No
1428-SE,ABMI Ecosystem Health 2016,Yes
1428-SW,ABMI Ecosystem Health 2016,Yes
1429-NE,ABMI Ecosystem Health 2016,Yes
1429-NW,ABMI Ecosystem Health 2016,No
1429-SE,ABMI Ecosystem Health 2016,No
1429-SW,ABMI Ecosystem Health 2016,Yes
1430-NE,ABMI Ecosystem Health 2016,Yes
1430-NW,ABMI Ecosystem Health 2016,No
1430-SE,ABMI Ecosystem Health 2016,Yes
1430-SW,ABMI Ecosystem Health 2016,No
1431-NE,ABMI Ecosystem Health 2018,Yes
1431-SW,ABMI Ecosystem Health 2018,No
1432-NE,ABMI Ecosystem Health 2018,Yes
1432-SW,ABMI Ecosystem Health 2018,No
1433-NE,ABMI Ecosystem Health 2018,Yes
1433-SW,ABMI Ecosystem Health 2018,No
1434-NE,ABMI Ecosystem Health 2015,Yes
1434-NW,ABMI Ecosystem Health 2015,No
1434-SE,ABMI Ecosystem Health 2015,No
1434-SW,ABMI Ecosystem Health 2015,Yes
1435-NE,ABMI Ecosystem Health 2015,Yes
1435-NW,ABMI Ecosystem Health 2015,No
1435-SE,ABMI Ecosystem Health 2015,No
1435-SW,ABMI Ecosystem Health 2015,Yes
1436-NE,ABMI Ecosystem Health 2015,Yes
1436-NW,ABMI Ecosystem Health 2015,No
1436-SE,ABMI Ecosystem Health 2015,No
1436-SW,ABMI Ecosystem Health 2015,Yes
1437-NE,ABMI Ecosystem Health 2017,Yes
1437-NW,ABMI Ecosystem Health 2017,No
1437-SE,ABMI Ecosystem Health 2017,No
1437-SW,ABMI Ecosystem Health 2017,Yes
1438-NE,ABMI Ecosystem Health 2017,Yes
1438-NW,ABMI Ecosystem Health 2017,No
1438-SE,ABMI Ecosystem Health 2017,No
1438-SW,ABMI Ecosystem Health 2017,Yes
1439-NE,ABMI Ecosystem Health 2017,Yes
1439-NW,ABMI Ecosystem Health 2017,No
1439-SE,ABMI Ecosystem Health 2017,NA
1439-SW,ABMI Ecosystem Health 2017,NA
1440-NE,ABMI Ecosystem Health 2018,Yes
1440-SW,ABMI Ecosystem Health 2018,No
1441-NE,ABMI Ecosystem Health 2018,Yes
1441-SW,ABMI Ecosystem Health 2018,No
1442-NE,ABMI Ecosystem Health 2018,Yes
1442-SW,ABMI Ecosystem Health 2018,No
1443-NE,ABMI Ecosystem Health 2016,Yes
1443-NW,ABMI Ecosystem Health 2016,No
1443-SE,ABMI Ecosystem Health 2016,No
1443-SW,ABMI Ecosystem Health 2016,Yes
1444-NE,ABMI Ecosystem Health 2018,Yes
1444-NW,ABMI Ecosystem Health 2018,No
1444-SE,ABMI Ecosystem Health 2018,No
1444-SW,ABMI Ecosystem Health 2018,Yes
1445-NE,ABMI Ecosystem Health 2018,Yes
1445-NW,ABMI Ecosystem Health 2018,No
1445-SE,ABMI Ecosystem Health 2018,NA
1445-SW,ABMI Ecosystem Health 2018,Yes
1446-NE,ABMI Ecosystem Health 2018,Yes
1446-NW,ABMI Ecosystem Health 2018,No
1446-SE,ABMI Ecosystem Health 2018,No
1446-SW,ABMI Ecosystem Health 2018,Yes
1447-NE,ABMI Ecosystem Health 2017,Yes
1447-NW,ABMI Ecosystem Health 2017,No
1447-SE,ABMI Ecosystem Health 2017,No
1447-SW,ABMI Ecosystem Health 2017,NA
1448-NE,ABMI Ecosystem Health 2017,Yes
1448-NW,ABMI Ecosystem Health 2017,No
1448-SE,ABMI Ecosystem Health 2017,No
1448-SW,ABMI Ecosystem Health 2017,Yes
1449-NE,ABMI Ecosystem Health 2018,Yes
1449-NW,ABMI Ecosystem Health 2018,No
1449-SE,ABMI Ecosystem Health 2018,Yes
1449-SW,ABMI Ecosystem Health 2018,NA
1450-NE,ABMI Ecosystem Health 2016,Yes
1450-NW,ABMI Ecosystem Health 2016,No
1450-SE,ABMI Ecosystem Health 2016,No
1450-SW,ABMI Ecosystem Health 2016,Yes
1451-NE,ABMI Ecosystem Health 2016,Yes
1451-NW,ABMI Ecosystem Health 2016,Yes
1451-SE,ABMI Ecosystem Health 2016,No
1451-SW,ABMI Ecosystem Health 2016,No
1452B-NE,ABMI Ecosystem Health 2016,Yes
1452B-NW,ABMI Ecosystem Health 2016,Yes
1452B-SE,ABMI Ecosystem Health 2016,No
1452B-SW,ABMI Ecosystem Health 2016,No
1453-NE,ABMI Ecosystem Health 2018,Yes
1453-SW,ABMI Ecosystem Health 2018,No
1454-NE,ABMI Ecosystem Health 2018,Yes
1454-SW,ABMI Ecosystem Health 2018,No
1456-NE,ABMI Ecosystem Health 2015,Yes
1457-NE,ABMI Ecosystem Health 2015,Yes
1457-NW,ABMI Ecosystem Health 2015,No
1457-SE,ABMI Ecosystem Health 2015,No
1457-SW,ABMI Ecosystem Health 2015,Yes
1458-NE,ABMI Ecosystem Health 2015,Yes
1458-NW,ABMI Ecosystem Health 2015,No
1458-SE,ABMI Ecosystem Health 2015,No
1458-SW,ABMI Ecosystem Health 2015,Yes
1459-NE,ABMI Ecosystem Health 2017,Yes
1459-NW,ABMI Ecosystem Health 2017,No
1459-SE,ABMI Ecosystem Health 2017,No
1459-SW,ABMI Ecosystem Health 2017,Yes
1460-NE,ABMI Ecosystem Health 2017,Yes
1460-NW,ABMI Ecosystem Health 2017,No
1460-SE,ABMI Ecosystem Health 2017,No
1460-SW,ABMI Ecosystem Health 2017,Yes
1461-NE,ABMI Ecosystem Health 2017,Yes
1461-NW,ABMI Ecosystem Health 2017,No
1461-SE,ABMI Ecosystem Health 2017,No
1461-SW,ABMI Ecosystem Health 2017,Yes
1462-NE,ABMI Ecosystem Health 2018,Yes
1462-SW,ABMI Ecosystem Health 2018,No
1463-NE,ABMI Ecosystem Health 2018,Yes
1463-SW,ABMI Ecosystem Health 2018,No
1464-NE,ABMI Ecosystem Health 2018,Yes
1464-SW,ABMI Ecosystem Health 2018,No
1465-NE,ABMI Ecosystem Health 2016,No
1465-NW,ABMI Ecosystem Health 2016,No
1465-SE,ABMI Ecosystem Health 2016,No
1465-SW,ABMI Ecosystem Health 2016,No
1466-NE,ABMI Ecosystem Health 2017,No
