location,project,VegHF,SoilHF,VegForDetectionDistance
1364-NE,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,HF
1364-NW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1364-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1364-SW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1368-NE,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1368-NW,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1368-SE,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,Grass
1368-SW,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1369-NE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1369-NW,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1369-SE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1369-SW,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1370-NE,ABMI Ecosystem Health 2015,CultivationAbandoned,CultivationAbandoned,HF
1370-NW,ABMI Ecosystem Health 2015,RoadVegetatedVerge,RoadVegetatedVerge,HF
1370-SE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1370-SW,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1381-NE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1381-NW,ABMI Ecosystem Health 2017,Marsh,Lo,WetGrass
1381-SE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1381-SW,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1382-NE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1382-NW,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1382-SE,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1382-SW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1383-NE,ABMI Ecosystem Health 2017,GrassHerb,LtcR,Grass
1383-NW,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
1383-SE,ABMI Ecosystem Health 2017,CultivationRoughPasture,CultivationRoughPasture,HF
1383-SW,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
1384-NE,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
1384-SW,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
1385-NE,ABMI Ecosystem Health 2018,RoadTrailVegetated,RoadTrailVegetated,HF
1385-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1387-NE,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1387-NW,ABMI Ecosystem Health 2016,Shrub,Lo,Shrub
1387-SE,ABMI Ecosystem Health 2016,RoadVegetatedVerge,RoadVegetatedVerge,HF
1387-SW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1388B-NE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1388B-NW,ABMI Ecosystem Health 2016,CultivationTamePasture,CultivationTamePasture,Grass
1388B-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1388B-SW,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,HF
1389-NE,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,HF
1389-NW,ABMI Ecosystem Health 2016,CultivationTamePasture,CultivationTamePasture,HF
1389-SE,ABMI Ecosystem Health 2016,GrassHerb,LenA,Grass
1389-SW,ABMI Ecosystem Health 2016,CultivationTamePasture,CultivationTamePasture,HF
1393-NE,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1393-NW,ABMI Ecosystem Health 2015,GrassHerb,LenW,Water
1393-SE,ABMI Ecosystem Health 2015,GrassHerb,LenW,Grass
1393-SW,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1394-NE,ABMI Ecosystem Health 2015,GrassHerb,NA,Grass
1394-NW,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,Grass
1394-SE,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,Grass
1394-SW,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,Grass
1395-NE,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1395-NW,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1395-SE,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1395-SW,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
13-NE,ABMI Ecosystem Health 2015,TreedBog3,NA,WetTreed
13-NW,ABMI Ecosystem Health 2015,Pine4,NA,Conif
13-SE,ABMI Ecosystem Health 2015,TreedBogR,NA,WetTreed
13-SW,ABMI Ecosystem Health 2015,ShrubbySwamp,NA,WetTreed
1405-NE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1405-NW,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1405-SE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1405-SW,ABMI Ecosystem Health 2017,Marsh,Lo,WetGrass
1406-NE,ABMI Ecosystem Health 2017,GrassHerb,LtcR,Grass
1406-NW,ABMI Ecosystem Health 2017,GrassHerb,LtcR,Grass
1406-SE,ABMI Ecosystem Health 2017,Marsh,LtcR,WetGrass
1406-SW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1407-NE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1407-NW,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1407-SE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1407-SW,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1408-NE,ABMI Ecosystem Health 2018,CultivationTamePasture,CultivationTamePasture,HF
1408-SW,ABMI Ecosystem Health 2018,CultivationTamePasture,CultivationTamePasture,HF
1409-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1409-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1410-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1410-SW,ABMI Ecosystem Health 2018,WellSite,WellSite,HF
1411-NE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1411-NE_b,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1411-NE-b,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1411-NW,ABMI Ecosystem Health 2016,WellSite,WellSite,HF
1411-NW_b,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1411-NW-b,ABMI Ecosystem Health 2016,Marsh,NA,HF
1411-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1411-SE_b,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1411-SE-b,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1411-SW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1411-SW_b,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1411-SW-b,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1412-NE,ABMI Ecosystem Health 2016,GrassHerb,Sy,Grass
1412-NW,ABMI Ecosystem Health 2016,GrassHerb,Sy,Grass
1412-SE,ABMI Ecosystem Health 2016,GrassHerb,Sy,Grass
1412-SW,ABMI Ecosystem Health 2016,GrassHerb,Sy,Grass
1413-NE,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,HF
1413-NW,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,Grass
1413-SE,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1413-SW,ABMI Ecosystem Health 2016,GrassHerb,Lo,HF
1417-NE,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1417-NW,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1417-SE,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,Grass
1417-SW,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1418-NE,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1418-NW,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1418-SE,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1418-SW,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1419-NE,ABMI Ecosystem Health 2015,WellSite,WellSite,HF
1419-NW,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,Water
1419-SE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1419-SW,ABMI Ecosystem Health 2015,RoadVegetatedVerge,RoadVegetatedVerge,HF
1420-NE,ABMI Ecosystem Health 2017,GrassHerb,Lo,Grass
1420-NW,ABMI Ecosystem Health 2017,GrassHerb,Lo,Grass
1420-SE,ABMI Ecosystem Health 2017,GrassHerb,Lo,Grass
1420-SW,ABMI Ecosystem Health 2017,GrassHerb,Lo,Grass
1422-NW,ABMI Ecosystem Health 2018,SnowIce,NA,Grass
1422-SE,ABMI Ecosystem Health 2018,SnowIce,NA,Grass
1422-SW,ABMI Ecosystem Health 2018,Bare,NA,Grass
1423-NE,ABMI Ecosystem Health 2018,Pine2,NA,Conif
1423-SE,ABMI Ecosystem Health 2018,SpruceR,NA,Conif
1423-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1424-NE,ABMI Ecosystem Health 2017,Spruce9,NA,Conif
1424-NW,ABMI Ecosystem Health 2017,Spruce9,NA,Conif
1424-SE,ABMI Ecosystem Health 2017,Spruce9,NA,Conif
1424-SW,ABMI Ecosystem Health 2017,Spruce9,NA,Conif
1425-NE,ABMI Ecosystem Health 2017,Pine5,NA,Conif
1425-NW,ABMI Ecosystem Health 2017,Pine6,NA,Conif
1425-SE,ABMI Ecosystem Health 2017,Pine5,NA,Conif
1425-SW,ABMI Ecosystem Health 2017,Spruce9,NA,Conif
1426-NE,ABMI Ecosystem Health 2017,Pine5,NA,Conif
1426-NW,ABMI Ecosystem Health 2017,CCDecid2,CutBlocks,Decid
1426-SE,ABMI Ecosystem Health 2017,Pine7,NA,Conif
1426-SW,ABMI Ecosystem Health 2017,Pine5,NA,Conif
1427-NE,ABMI Ecosystem Health 2017,Decid5,Lo,Decid
1427-NW,ABMI Ecosystem Health 2017,Decid5,Lo,Decid
1427-SE,ABMI Ecosystem Health 2017,Decid5,Lo,Decid
1427-SW,ABMI Ecosystem Health 2017,Decid5,Lo,Decid
1428-NE,ABMI Ecosystem Health 2016,Decid2,UNK,HF
1428-NW,ABMI Ecosystem Health 2016,CultivationTamePasture,CultivationTamePasture,HF
1428-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1428-SW,ABMI Ecosystem Health 2016,GrassHerb,Sa,Grass
1429-NE,ABMI Ecosystem Health 2016,RoadVegetatedVerge,RoadVegetatedVerge,Decid
1429-NW,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1429-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1429-SW,ABMI Ecosystem Health 2016,GrassHerb,Sa,HF
1430-NE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,Grass
1430-NW,ABMI Ecosystem Health 2016,Spruce6,UNK,HF
1430-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1430-SW,ABMI Ecosystem Health 2016,RoadVegetatedVerge,RoadVegetatedVerge,HF
1431-NE,ABMI Ecosystem Health 2018,Marsh,NA,WetGrass
1431-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1432-NE,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
1432-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1433-NE,ABMI Ecosystem Health 2018,Marsh,NA,WetGrass
1433-SW,ABMI Ecosystem Health 2018,CultivationTamePasture,CultivationTamePasture,HF
1434-NE,ABMI Ecosystem Health 2015,GrassHerb,TB,Decid
1434-NW,ABMI Ecosystem Health 2015,GrassHerb,TB,Grass
1434-SE,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1434-SW,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1435-NE,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1435-NW,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1435-SE,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1435-SW,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1436-NE,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1436-NW,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1436-SE,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1436-SW,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,Grass
1437-NE,ABMI Ecosystem Health 2017,GrassHerb,BlO,Grass
1437-NW,ABMI Ecosystem Health 2017,GrassHerb,BlO,Grass
1437-SE,ABMI Ecosystem Health 2017,GrassHerb,BlO,Grass
1437-SW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1438-NE,ABMI Ecosystem Health 2017,GrassHerb,BlO,Grass
1438-NW,ABMI Ecosystem Health 2017,GrassHerb,BlO,Grass
1438-SE,ABMI Ecosystem Health 2017,Marsh,BlO,WetGrass
1438-SW,ABMI Ecosystem Health 2017,GrassHerb,BlO,Grass
1439-NE,ABMI Ecosystem Health 2017,GrassHerb,BlO,Grass
1439-NW,ABMI Ecosystem Health 2017,GrassHerb,BlO,Grass
1439-SE,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1439-SW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1440-NE,ABMI Ecosystem Health 2018,Marsh,NA,WetGrass
1440-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1441-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1441-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1442-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1442-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1443-NE,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1443-NW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1443-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1443-SW,ABMI Ecosystem Health 2016,Marsh,Sy,Water
1444-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1444-NW,ABMI Ecosystem Health 2018,Shrub,NA,Shrub
1444-SE,ABMI Ecosystem Health 2018,Shrub,NA,Shrub
1444-SW,ABMI Ecosystem Health 2018,Spruce5,NA,Conif
1445-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1445-NW,ABMI Ecosystem Health 2018,Spruce4,NA,Conif
1445-SW,ABMI Ecosystem Health 2018,Spruce7,NA,Conif
1446-NE,ABMI Ecosystem Health 2018,Bare,NA,Grass
1446-NW,ABMI Ecosystem Health 2018,Bare,NA,Grass
1446-SE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1446-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1447-NE,ABMI Ecosystem Health 2017,Spruce6,NA,Conif
1447-NW,ABMI Ecosystem Health 2017,Pine5,NA,Conif
1447-SE,ABMI Ecosystem Health 2017,Bare,NA,Grass
1448-NE,ABMI Ecosystem Health 2017,Pine7,NA,Conif
1448-NW,ABMI Ecosystem Health 2017,Pine7,NA,Conif
1448-SE,ABMI Ecosystem Health 2017,Pine7,NA,Conif
1448-SW,ABMI Ecosystem Health 2017,Pine7,NA,Conif
1449-NE,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
1449-NW,ABMI Ecosystem Health 2018,CultivationTamePasture,CultivationTamePasture,HF
1449-SE,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
1449-SW,ABMI Ecosystem Health 2018,Mixedwood4,NA,Decid
1450-NE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1450-NW,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1450-SE,ABMI Ecosystem Health 2016,GrassHerb,Lo,Shrub
1450-SW,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1451-NE,ABMI Ecosystem Health 2016,GrassHerb,BlO,Grass
1451-NW,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1451-SE,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1451-SW,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
1452B-NE,ABMI Ecosystem Health 2016,GrassHerb,LenA,Grass
1452B-NW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1452B-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1452B-SW,ABMI Ecosystem Health 2016,RoadVegetatedVerge,RoadVegetatedVerge,HF
1453-NE,ABMI Ecosystem Health 2018,RoadVegetatedVerge,RoadVegetatedVerge,HF
1453-SW,ABMI Ecosystem Health 2018,CultivationTamePasture,CultivationTamePasture,HF
1454-NE,ABMI Ecosystem Health 2018,CultivationTamePasture,CultivationTamePasture,HF
1454-SW,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
1456-NE,ABMI Ecosystem Health 2015,Marsh,SL,Water
1457-NE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1457-NW,ABMI Ecosystem Health 2015,WellSite,WellSite,HF
1457-SE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1457-SW,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1458-NE,ABMI Ecosystem Health 2015,GrassHerb,Sa,Grass
1458-NW,ABMI Ecosystem Health 2015,GrassHerb,Sa,Grass
1458-SE,ABMI Ecosystem Health 2015,GrassHerb,Sa,Grass
1458-SW,ABMI Ecosystem Health 2015,GrassHerb,Sa,Grass
1459-NE,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
1459-NW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1459-SE,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
1459-SW,ABMI Ecosystem Health 2017,CultivationAbandoned,CultivationAbandoned,HF
1460-NE,ABMI Ecosystem Health 2017,WellSite,WellSite,HF
1460-NW,ABMI Ecosystem Health 2017,GrassHerb,Sa,Grass
1460-SE,ABMI Ecosystem Health 2017,CultivationRoughPasture,CultivationRoughPasture,HF
1460-SW,ABMI Ecosystem Health 2017,CultivationRoughPasture,CultivationRoughPasture,HF
1461-NE,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1461-NW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1461-SE,ABMI Ecosystem Health 2017,Shrub,Ov,Shrub
1461-SW,ABMI Ecosystem Health 2017,ShrubbySwamp,Ov,Shrub
1462-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1462-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1463-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1463-SW,ABMI Ecosystem Health 2018,RoadVegetatedVerge,RoadVegetatedVerge,HF
1464-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1464-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1465-NE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1465-NW,ABMI Ecosystem Health 2016,UrbanIndustrial,UrbanIndustrial,HF
1465-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1465-SW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1466-NE,ABMI Ecosystem Health 2017,Mixedwood6,NA,Decid
1466-NW,ABMI Ecosystem Health 2017,Decid5,NA,Decid
1466-SE,ABMI Ecosystem Health 2017,TreedSwamp5,NA,WetTreed
1466-SW,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
1467-NE,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
1467-NW,ABMI Ecosystem Health 2017,Mixedwood7,NA,Decid
1467-SE,ABMI Ecosystem Health 2017,RuralResidentialIndustrial,RuralResidentialIndustrial,HF
1467-SW,ABMI Ecosystem Health 2017,Pine6,NA,Conif
1468-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1468-NW,ABMI Ecosystem Health 2018,Bare,NA,Grass
1468-SE,ABMI Ecosystem Health 2018,Shrub,NA,Shrub
1468-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1469-NE,ABMI Ecosystem Health 2018,RoadVegetatedVerge,RoadVegetatedVerge,HF
1469-NW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1469-SE,ABMI Ecosystem Health 2018,Spruce6,NA,Conif
1469-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1470-NE,ABMI Ecosystem Health 2017,Spruce6,Lo,Conif
1470-NW,ABMI Ecosystem Health 2017,CCSpruce1,CutBlocks,Shrub
1470-SE,ABMI Ecosystem Health 2017,GrassHerb,Lo,Grass
1470-SW,ABMI Ecosystem Health 2017,GrassHerb,Lo,Grass
1471-NE,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,HF
1471-NW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1471-SE,ABMI Ecosystem Health 2016,GrassHerb,Cy,HF
1471-SW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1472-NE,ABMI Ecosystem Health 2016,RuralResidentialIndustrial,RuralResidentialIndustrial,HF
1472-SE,ABMI Ecosystem Health 2016,Reservoir,Reservoir,Water
1472-SW,ABMI Ecosystem Health 2016,Decid6,LtcR,Decid
1473-NE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1473-NW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1473-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1473-SW,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1474-NE,ABMI Ecosystem Health 2018,CultivationTamePasture,CultivationTamePasture,HF
1474-SW,ABMI Ecosystem Health 2018,RoadVegetatedVerge,RoadVegetatedVerge,HF
1475-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1475-SW,ABMI Ecosystem Health 2018,CultivationTamePasture,CultivationTamePasture,HF
1477-NE,ABMI Ecosystem Health 2015,WellSite,WellSite,HF
1477-NW,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,Grass
1477-SE,ABMI Ecosystem Health 2015,WellSite,WellSite,HF
1477-SW,ABMI Ecosystem Health 2015,WellSite,WellSite,HF
1478-NE,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1478-NW,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1478-SE,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1478-SW,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
1479-NE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1479-NW,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
1479-SE,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1479-SW,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1480-NE,ABMI Ecosystem Health 2017,GrassHerb,Sa,Grass
1480-NW,ABMI Ecosystem Health 2017,GrassHerb,CS,Grass
1480-SE,ABMI Ecosystem Health 2017,CultivationRoughPasture,CultivationRoughPasture,HF
1480-SW,ABMI Ecosystem Health 2017,GrassHerb,Sa,Grass
1481-NE,ABMI Ecosystem Health 2017,GrassHerb,TB,Grass
1481-NW,ABMI Ecosystem Health 2017,GrassHerb,TB,Grass
1481-SE,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
1481-SW,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
1482-NE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1482-NW,ABMI Ecosystem Health 2017,RoadHardSurface,RoadHardSurface,HF
1482-SE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1482-SW,ABMI Ecosystem Health 2017,CultivationAbandoned,CultivationAbandoned,HF
1486-NE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1486-NW,ABMI Ecosystem Health 2016,CultivationTamePasture,CultivationTamePasture,HF
1486-SE,ABMI Ecosystem Health 2016,CultivationCrop,CultivationCrop,HF
1486-SW,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,HF
1491-NE,ABMI Ecosystem Health 2015,ShrubbySwamp,Lo,Shrub
1491-NW,ABMI Ecosystem Health 2015,Spruce7,Lo,Conif
1491-SE,ABMI Ecosystem Health 2015,Decid6,Cy,Decid
1491-SW,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,HF
1492-NE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1492-NW,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1492-SE,ABMI Ecosystem Health 2015,Decid4,Lo,Decid
1492-SW,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,HF
1493B-NE,ABMI Ecosystem Health 2015,CultivationCrop,CultivationCrop,HF
1493B-NW,ABMI Ecosystem Health 2015,GrassHerb,Li,HF
1493B-SE,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
1493B-SW,ABMI Ecosystem Health 2015,UrbanIndustrial,UrbanIndustrial,HF
1494-NE,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1494-NW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
1494-SE,ABMI Ecosystem Health 2017,GrassHerb,Lo,Grass
1494-SW,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
1495-NE,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1495-NW,ABMI Ecosystem Health 2017,Marsh,Lo,WetGrass
1495-SE,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
1495-SW,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1496-NE,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
1496-NW,ABMI Ecosystem Health 2017,CultivationCrop,CultivationCrop,HF
1496-SE,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
1496-SW,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
1497-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1497-SW,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
1498-NE,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
1498-SW,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1499-NE,ABMI Ecosystem Health 2018,GrassHerb,NA,Grass
1499-SW,ABMI Ecosystem Health 2018,CultivationCrop,CultivationCrop,HF
14-NE,ABMI Ecosystem Health 2015,PineR,NA,Conif
14-NW,ABMI Ecosystem Health 2015,PineR,NA,WetTreed
14-SE,ABMI Ecosystem Health 2015,TreedFenR,NA,WetTreed
